CL_CEP;Nao pago;Pago;% Mau;% Bom;RR;Dif. RR;TOTAL;% Freq;Tx Recuperacao;Dummie
0;38;3;0.02;0.01;0.45;;41;0.02;7.32;MRUIM
1;3071;353;1.48;0.97;0.66;0.21;3424;1.40;10.31;RUIM
2;22170;3155;10.67;8.69;0.81;0.16;25325;10.38;12.46;RUIM
3;4526;633;2.18;1.74;0.80;0.01;5159;2.11;12.27;RUIM
4;6512;1292;3.13;3.56;1.14;0.34;7804;3.20;16.56;BOM
5;50;8;0.02;0.02;0.92;0.22;58;0.02;13.79;RUIM
6;26919;4633;12.96;12.77;0.99;0.07;31552;12.93;14.68;RUIM
7;143492;26070;69.07;71.85;1.04;0.05;169562;69.48;15.37;BOM
8;958;134;0.46;0.37;0.80;0.24;1092;0.45;12.27;RUIM
9;27;5;0.01;0.01;1.06;0.26;32;0.01;15.62;BOM
Total;207763;36286;100.00;100.00;;;244049;100.00;14.87;
;;;;;;;;;;
