CL_VALOR_DIV;Nao pago;Pago;% Mau;% Bom;RR;Dif. RR;TOTAL;% Freq;Tx Recuperacao;Dummie
9.68 - 102.188;20910;3495;10.06;9.63;0.96;0.42;24405;10.00;14.32;RUIM
102.188 - 170.68;20739;3659;9.98;10.08;1.01;;24398;10.00;15.00;BOM
170.68 - 220.11;20836;3567;10.03;9.83;0.98;0.03;24403;10.00;14.62;RUIM
220.11 - 256.99;21048;3361;10.13;9.26;0.91;0.07;24409;10.00;13.77;RUIM
256.99 - 288.71;21314;3089;10.26;8.51;0.83;0.08;24403;10.00;12.66;RUIM
288.71 - 324.1;21282;3125;10.24;8.61;0.84;0.01;24407;10.00;12.80;RUIM
324.1 - 372.04;20771;3635;10.00;10.02;1.00;0.16;24406;10.00;14.89;BOM
372.04 - 432.08;20758;3645;9.99;10.05;1.01;0.00;24403;10.00;14.94;BOM
432.08 - 529.45;20423;3980;9.83;10.97;1.12;0.11;24403;10.00;16.31;BOM
529.45+;19682;4730;9.47;13.04;1.38;0.26;24412;10.00;19.38;BOM
Total;207763;36286;100.00;100.00;;;244049;100.00;14.87;
;;;;;;;;;;
